Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
LBRM3Y8J,webpage,,,"Flex and Bison for a Simple Language, MITScript","Tack, Hunt, Pool",,,,http://raywang.tech/2017/03/07/Flex-and-Bison-for-a-simple-language-MITScript/index.html,"For the first lab in 6.035, Computer Language Engineering, in Spring 2017, we use Flex, a lexical analyzer library, and Bison, a parser generator, to create a parser for a simple scripting language. T",,,,,,,,,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/FQ8DJ3FH/Flex-and-Bison-for-a-simple-language-MITScript.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTXIXKE4,webpage,,repl.it,Making your own programming language with Python,repl.it,,,,https://repl.it/talk/learn/Making-your-own-programming-language-with-Python/45767,"Making your own programming language with Python Why make your own language? When you write your own programming language, you control the entire programmer experience.  This allows you to shape exact how each aspect of your language works and how a developer interacts with it.  This allows you to make a language with things you like from other languages and none of the stuff you don't.  In addition, learning about programming language internals can help you better understand the internals of programming languages you use every day, which can make you a better programmer. How programming languages work Every programming language is different in the way it runs, but many consist of a couple fundamental steps: lexing and parsing. Introduction to Lexing Lexing is short for LEXical analysis.  The lex step is where the language takes the raw code you've written and converts it into an easily parsable structure. This step interprets the syntax of your language and turns next into special symbols inside the language called tokens.  For example, let's say you have some code you want to parse. To keep it simple I'll use python-like syntax, but could be anything. It doesn't even have to be text.  A lexer to parse this code might do the following: Discard all comments Produce a token that represents a variable name Produce left and right parenthesis tokens Convert literals like numbers or strings to tokens Produce tokens for nath operations like   (and maybe bitwise/logical operators as well) The lexer will take the raw code and interpret it into a list of tokens.  The lexer can also be used to insure that two pieces of code that may be different, like   and   are still parsed the same way.  For the code above, it might generate tokens like this:  Tokens can be in many forms, but the main idea here is that they are a standard and easy to parse way of representing the code. Introduction to Parsing The parser is the next step in the running of your language. Now that the lexer has turned the text into consistent tokens, the parser simplifies and executes them. Parser rules recognize a sequence of tokens and do something about them. Let's look at a simple example for a parser with the same tokens as above. A simple parser could just say: If I see the   token and then a   token, print   and the the name. A more complicated parser aiming to parse the code above might have these rules, which we will explore later: Try to classify as much code as possible as an expression. By ""as much code as possible"" I mean the parser will first try to consider a full mathematical operation as an expression, and then if that fails convert a single variable or number to an expression. This ensure that as much code as possible will be matched as an expression. The ""expression"" concept allows us to catch many patterns of tokens with one piece of code. We will use the expression in the next step. Now that we have a concept of an expression, we can tell the parser that if it sees the tokens   and then an expression, that means a variable is being assigned.  Using PLY to write your language What is PLY? Now that we know the basics of lexing and parsing, lets start writing some python code to do it. PLY stands for Python Lex Yacc.  It is a library you can use to make your own programming language with python. Lex is a well known library for writing lexers. Yacc stands for ""Yet Another Compiler Compiler"" which means it compiles new languages, which are compilers themself. This tutorial is a short example, but  the PLY documentation  is an  amazing  resource with tons of examples. I would highly recommend that you check it out if you are using PLY. For this example, we are going to be building a simple calculator with variables. If you want to see the fully completed example, you can fork this repl:  TODO!! Lexing with PLY lex Lexer tokens Lets start our example! Fire up a new python repl and follow along with the code samples. To start off, we need to import PLY: Now let's define our first token. PLY requires you to have a   list which contains every token the lexer can produce. Let's define our first token,   for the plus sign: A string that looks like   is special in python. The   prefix means ""raw"" which includes backslashes in the string. For example, to make define the string   in python, you could either do   or  . We are going to be using a lot of backslashes, so raw strings make things a lot easier. But what does   mean?  Well in the lexer, tokens are mainly parsed using regexes.  A regex is like a special programming language specifically for matching patterns in text.  A great resource for regexes is  regex101.com  where you can test your regexes with syntax highlighting and see explanations of each part.  I'm going to explain the regexes included in this tutorial, but if you want to learn more you can play around with regex101 or read one of the many good regex tutorials on the internet. The regex   means ""match a single character +"".  We have to put a backshlash before it because   normally has a special meaning in regex so we have to ""escape"" it to show we want to match a   literally. We are also required to define a function that runs when the lexer encounters an error: This function just prints out a warning when it hits a character it doesn't recognize and then skips it (the   means repr so it will print out quotes around the character).  You can change this to be whatever you want in your language though. Optionally, you can define a newline token which isn't produced in the output of the lexer, but keeps track of each line.  Since this token is a function, we can define the regex in docstring of the function instead.  The function takes a paramater t, which is a special object representing the match that the lexer found. We can access the   using the the   attribute. This function matches at least one newline character and then increases the line number by the amount that it sees. This allows the lexer to known what line number its on at all times using the   variable. Now we can use the line number in our error function: Let's test out the lexer!  This is just some temporary code, you don't have to know what this code does, because once we implement a parser, the parser will run the lexer for you.  Play around with the value passed to  .  You should notice that any character other than a plus sign makes the error message print out, but doesn't crash the program.  In your language, you can make it gracefully ignore lex errors like this or make it stop running by editing the   function.  If you add more lines to the input string, the line number in the error message should change.  More complicated tokens Let's delete the test token add some more complicated tokens.  Replace your tokens list and the   line with the following code: Let's explore the regex we have in the   function.  This regex is more complicated that the simple ones we've used before. First, we have  . This is a character class in regex. It means, match any lowercase letter, uppercase letter, or underscore.  Next we have  . This is the same as above except numbers are also included. Finally, we have  . This means ""repeat the previous group or class zero to unlimited times"". Why do we structure the regex like this?  Having two separate classes makes sure that the first one  must  match for it to be a valid variable.  If we exclude numbers from the first class, it not only doesn't match just regular numbers, but makes sure you can't start a variable with a number.  You can still have numbers in the variable name, because they are matched by the second class of the regex. In the code, we first have a dictionary of reserved names.  This is a mapping of patterns to the token type that they should be.  The only one we have says that   should be mapped to the   token.  The code that sets up the tokens list takes all of the possible reserved token values, in this is example its just   and adds on  , giving us   automatically! But why do we have to do this? Couldn't we just use something like the following code? Actually, if we used that code,   would never be matched! The lexer would match it with the   token. In order to avoid this, we define a new type of token which is a function. This function has the regex as its docstring and is passed a   paramater. This paramater has a   attribute which is the pattern matched.  The code inside this function simply checks if this value is one of the special reserved names we defined before. If it is, we set the special   attribute of the   paramter. This   controls the type of token which is produced from the pattern. When it sees the name greet, it will see greet is in the reserved names dictionary and produce a token type of   because that is the corresponding value in the dictionary. Otherwise, it will produce a   token because this is a regular variable. This allows you to add more reserved terms easily later, its as simple as adding a value to the dictionary. If needed, you could make also make the key of the reserved names dicitonary a regex and the match each regex against   in the function. If you want to change these rules for your language, feel free! Parsing with PLY yacc Fair warning: Yacc can sometimes be hard to use and debug, every if you know python well.  Keep in mind, you don't have to use both lex and yacc, if you want you can just use lex and then write your own code to parse the tokens. With that said lets get started. Yacc basics Before we get started, delete the lexer testing code (everything from   onward).  When we run the parser, the lexer is automatially run. Let's add our first parser rule! Let's break this down.  Again, we have information on the rule in the docstring. This information is called a BNF Grammar. A statement in BNF Grammar consists of a grammar rule known as a  non-terminal  and  terminals .  In the example above,   is the non-terminal and   are terminals.  The left-hand side describes what is produced by the rule, and the right-hand side describes what matches the rule.  The right hand side can also have non-terminals in it, just be careful to avoid infinite loops.  Basically, the   parser works by pushing tokens onto a stack, and looking at the current stack and the next token and seeing if they match any rules that it can use to simplify them.  Here  is a more in-depth explanation and example.  Before the above example can run, we still have to add some more code.  Just like for the lexer, the error handler is required: Now let's create and run the parser: If you run this code you should see: The first line is the list version of the object passed to the parser function. The first value is the   that will be produced from the function, so it is  . Next, we have the values of the tokens we specified in the rule.  This is where the   part comes from. This is the third item in the array, which is the   token, so our parser prints out  ! Note: Creating the parser tables is a relatively expensive operation, so the parser creates a file called   which it can load the parse tables from if they haven't changed.  You can change this filename by passing a kwarg into the   initialization, like  More complicated parsing: Calculator This example is different from our running example, so I will just show a full code example and explain it.  First we start off with the tokens: numbers, mathematical operations, and parenthesis.  You might notice that I didn't use the   trick, but you can implement it if you want. Next we have a simple number token which matches 0-9 with   and then converts its value from a string to an integer. The next code we haven't used before is  .  This variable represents a list of all characters the lexer should ignore, which is   which means spaces and tabs.  When the lexer sees these, it will just skip them. This allows users to add spaces without it affecting the lexer. Now we have 3 parser directives.  The first is a large one, producing an expression from 4 possible input values, one for each math operation.  Each input has an   on either side of the math operator. Inside this directive, we have some (pretty ugly) code that performs the correct operation based on the operation token given.  If you want to make this prettier, consider a dictionary using the python stdlib   module. Next, we define an expression with parenthesis around it as being the same as the expression inside.  This makes parenthesis value be substituted in for them, making them evaluate inside first.  With very little code we created a very complicated rule that can deal with nested parenthesis correctly. Finally, we define a number as being able to be an expression, which allows a number to be used as one of the expressions in rule 1. For a challenge, try adding variables into this calculator!  You should be able to set variables by using syntax like   and you should be able to use variables in expressions.  If you're stuck, see one solution  from the PLY docs . Thats it! Thanks for reading! If you have questions, feel free to ask on  the Replit discord 's   channel, or just the comments.  Have fun!",,,,,,,,,,,,,,,en,,,,,,,,,/Users/harrykd/Zotero/storage/3327VJVJ/45767.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VF93X5XW,webpage,,,PLY (Python Lex-Yacc),,,,,https://www.dabeaz.com/ply/ply.html,,,,,,,,,,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/G5YY4SS8/ply.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T523A9MX,blogPost,2020,,How to Create a Programming Language using Python?,GeeksforGeeks,,,,https://www.geeksforgeeks.org/how-to-create-a-programming-language-using-python/,"A Computer Science portal for geeks. It contains well written, well thought and well explained computer science and programming articles, quizzes and practice/competitive programming/company interview Questions.",2020-07-04,,,,,,,,,,,,,,en-US,,,,,,,Section: Compiler Design,,/Users/harrykd/Zotero/storage/LUAF83TM/how-to-create-a-programming-language-using-python.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3PTGPV9,blogPost,2020,,Difference between Compiler and Interpreter,GeeksforGeeks,,,,https://www.geeksforgeeks.org/difference-between-compiler-and-interpreter/,"A Computer Science portal for geeks. It contains well written, well thought and well explained computer science and programming articles, quizzes and practice/competitive programming/company interview Questions.",2020-04-12,,,,,,,,,,,,,,en-US,,,,,,,Section: Compiler Design,,/Users/harrykd/Zotero/storage/NLCLHEHF/difference-between-compiler-and-interpreter.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8QYXGPC,computerProgram,2020,"Khandelwal, Chirag",Electrux/Ethereal,,,,,https://github.com/Electrux/Ethereal,Ethereal Language Reference Implementation (archived). Currently working on Feral,2020-08-07,,,,,,,,,,,,,,,"GPL-3.0 License         ,                 GPL-3.0 License",,,,GitHub,,original-date: 2019-06-03T17:18:48Z,,,,,language; bytecode-interpreter; cxx; interpreted-language; interpreted-programming-language; interpreter; scripting-language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,,,,,,,,,
HCVXUB5Q,webpage,2015,"Spivak, Ruslan",Let’s Build A Simple Interpreter. Part 1.,Ruslan's Blog,,,,https://ruslanspivak.com/lsbasi-part1/,"“If you don’t know how compilers work, then you don’t know how computers work. If you’re not 100% sure whether you know how compilers work, then you don’t know how they work.” — Steve Yegge There you have it. Think about it. It doesn’t really matter …",2015-06-15,,,,,,,,,,,,,,en,,,,,,,Section: blog,,/Users/harrykd/Zotero/storage/QZ5NAEYW/lsbasi-part1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3BT54ZXM,webpage,2018,"Ago, Drifter1in #programming • 2 Years",Writing a simple Compiler on my own - Creating a grammar for our Language,Steemit,,,,https://steemit.com/programming/@drifter1/writing-a-simple-compiler-on-my-own-creating-a-grammar-for-our-language,Hello it's a me again Drifter Programming! Today we get to my Compiler series again to create a grammar for our… by drifter1,2018-03-27,,,,,,,,,,,,,,en,,,,,,,,,/Users/harrykd/Zotero/storage/E6S6FDTY/writing-a-simple-compiler-on-my-own-creating-a-grammar-for-our-language.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLNNN5GS,webpage,2009,,"Writing Your Own Toy Compiler Using Flex, Bison and LLVM",,,,,http://gnuu.org/2009/09/18/writing-your-own-toy-compiler/,"Update (March 19 2010): this article was updated for LLVM 2.6 thanks to a great patch by John Harrison. He rocks! I’ve always been interested in compilers and languages, but interest only gets you so far. A lot of the concepts of compiler design can easily go way over most programmers’ heads, even the intelligent ones. Needless to say, I’ve tried, without much success, to write a small toy language/compiler before.",2009-09-18,,,,,,,,,,,,,,en-us,,,,,,,,,/Users/harrykd/Zotero/storage/EG374255/writing-your-own-toy-compiler.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IALIU6IZ,blogPost,2020,"Tomassetti, Gabriele","Why you should not use (f)lex, yacc and bison",Federico Tomassetti - Software Architect,,,,https://tomassetti.me/why-you-should-not-use-flex-yacc-and-bison/,"Flex and Bison works, but every day they become less of a good choice. There are much better options and we will explain why.",2020-03-04,,,,,,,,,,,,,,en-US,,,,,,,,,/Users/harrykd/Zotero/storage/ITK4QM94/why-you-should-not-use-flex-yacc-and-bison.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F34U6UID,computerProgram,2020,"Reidel, Jens",Gelbpunkt/mamba-lang,,,,,https://github.com/Gelbpunkt/mamba-lang,"A language built on top of python, with JS flavours",2020-05-24,,,,,,,,,,,,,,,"MIT License         ,                 MIT License",,,,GitHub,,original-date: 2018-11-11T12:18:01Z,,,,,language; programming-language; lex; ply; python3; yacc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,
5EHNA8V2,webpage,,262588213843476,A command to calculate lines of code in all tracked files in a Git repo,Gist,,,,https://gist.github.com/mandiwise/dc53cb9da00856d7cdbb,A command to calculate lines of code in all tracked files in a Git repo - Count lines in Git repo,,,,,,,,,,,,,,,en,,,,,,,,,/Users/harrykd/Zotero/storage/J5FMQJ9K/dc53cb9da00856d7cdbb.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUYJ5EKA,computerProgram,2020,IP2Location,ip2location/IP2Location-Python,,,,,https://github.com/ip2location/IP2Location-Python,"This module is a Python Library that enables the user to find the country, region, city, coordinates, zip code, ISP, domain name, timezone, connection speed, IDD code, area code, weather station co...",2020-07-19,,,,,,,,,,,,,,,"MIT License         ,                 MIT License",,,,GitHub,,original-date: 2018-07-11T06:03:19Z,,,,#Python,geolocation; geolocation-lookup; ip-checker; ip-geolocation; ip-lookup; ip2location; python; python-library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,
4XUNTW2E,videoRecording,,,The Forgotten Art of Structured Programming - Kevlin Henney [C++ on Sea 2019],,,,,https://www.youtube.com/watch?v=SFv8Wm2HdNM,,,,,,,,,,,,,,,,,,,,,YouTube,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:29:26,,,,,,,,,,,,,,,,,,,,,,,,,
VED9APEX,webpage,,,Building Git – shop.jcoglan.com,,,,,https://shop.jcoglan.com/building-git/,,,,,,,,,,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/VP3NKF6I/building-git.html,,extra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KW5X58YY,computerProgram,2020,"Singh, Samrat Man",samrat/rug,,,,,https://github.com/samrat/rug,"A stripped-down version of Git, implemented in Rust",2020-05-25,,,,,,,,,,,,,,,"MIT License         ,                 MIT License",,,,GitHub,,original-date: 2019-06-10T10:26:21Z,,,,,git; rust; version-control-system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rust,,,,,,,,,
I7TFZ8XG,webpage,,,My First Language Frontend with LLVM Tutorial — LLVM 12 documentation,,,,,https://llvm.org/docs/tutorial/MyFirstLanguageFrontend/index.html,,,,,,,,,,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/SXAL5H5Z/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7M8BZSEN,webpage,,,Contents • Build Your Own Lisp,,,,,http://www.buildyourownlisp.com/contents,,,,,,,,,,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/9D933BHT/contents.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS4AA66M,webpage,2012,,"Create a working compiler with the LLVM framework, Part 1",,,,,http://www.ibm.com/developerworks/library/os-createcompilerllvm1/index.html,The LLVM compiler infrastructure provides a powerful way to optimize your applications regardless of the programming language you use. Learn the basics of the LLVM in this first article of a two-part series. Building a custom compiler just got easier!,2012-06-19,,,,,,,,,,,,,,en,© Copyright IBM Corporation 2012,,,,,,,,/Users/harrykd/Zotero/storage/BK4LDQER/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93BR7QRS,webpage,2014,,Peter's gdb Tutorial: Table Of Contents,,,,,http://web.archive.org/web/20140910051410/http://www.dirac.org/linux/gdb/,,2014-09-10,,,,,,,Peter's gdb Tutorial,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/E63KNH7Y/gdb.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747C5AZU,webpage,,,(An ((Even Better) Lisp) Interpreter (in Python)),,,,,https://norvig.com/lispy2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7HTSIL9V,webpage,,,eliben/pykaleidoscope,GitHub,,,,https://github.com/eliben/pykaleidoscope,Implementation of the LLVM tutorial in Python. Contribute to eliben/pykaleidoscope development by creating an account on GitHub.,,,,,,,,,,,,,,,en,,,,,,,,,/Users/harrykd/Zotero/storage/H7EPFZES/chapter7and8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZ88RGUQ,computerProgram,2020,"Guérin, Frédéric",frederickjeanguerin/pykaleidoscope,,,,,https://github.com/frederickjeanguerin/pykaleidoscope,Kaleidoscope using Python and llvmlite. Contribute to frederickjeanguerin/pykaleidoscope development by creating an account on GitHub.,2020-08-19,,,,,,,,,,,,,,,,,,,GitHub,,original-date: 2016-08-09T18:39:39Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,
QTXBBSFK,webpage,,,(How to Write a (Lisp) Interpreter (in Python)),,,,,https://norvig.com/lispy.html,,,,,,,,,,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/L3Q4PDQB/lispy.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4K4PLMGP,webpage,2020,"Andrade, Marcelo",Writing your own programming language and compiler with Python,Medium,,,,https://blog.usejournal.com/writing-your-own-programming-language-and-compiler-with-python-a468970ae6df,Introduction,2020-05-27,,,,,,,,,,,,,,en,,,,,,,,,/Users/harrykd/Zotero/storage/LYRMSC8P/writing-your-own-programming-language-and-compiler-with-python-a468970ae6df.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J6F7EBPI,videoRecording,2013,,Stop Writing Classes,,,,,https://www.youtube.com/watch?v=o9pEzgHorH0,,2013-03-01,,,,,,,,,,,,,,,,,,,YouTube,,,,,,,,,,,,,,,,,,,,,,,,,,,,27:28,,,,,,,,,,,,,,,,,,,,,,,,,
MPQGH3K8,videoRecording,,,Ex-Trump Adviser Steve Bannon Arrested and Charged with Fraud: A Closer Look,,,,,https://www.youtube.com/watch?v=TxHhgSIjxDc,,,,,,,,,Ex-Trump Adviser Steve Bannon Arrested and Charged with Fraud,,,,,,,,,,,,YouTube,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:37,,,,,,,,,,,,,,,,,,,,,,,,,
85PY74C4,webpage,,,Snake in a QR code,,,,,https://itsmattkc.com/etc/snakeqr/,,,,,,,,,,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/5ADTUTVP/snakeqr.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3KMVGKKA,videoRecording,2019,,Can you fit a whole game into a QR code?,,,,,https://www.youtube.com/watch?v=ExwqNreocpg,,2019-07-10,,,,,,,,,,,,,,,,,,,YouTube,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:02,,,,,,,,,,,,,,,,,,,,,,,,,
YBUGPUCB,webpage,,,Tutorials - C Preprocessor Tricks - Cprogramming.com,,,,,https://www.cprogramming.com/tutorial/cpreprocessor.html,,,,,,,,,,,,,,,,,,,,,,,,,/Users/harrykd/Zotero/storage/9PSQ6QFR/cpreprocessor.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
